time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,40,18,1,1
2026-04-21 00:00:00+00:00,81,30,0,0
2026-04-22 00:00:00+00:00,94,32,0,0
2026-04-23 00:00:00+00:00,108,34,1,1
2026-04-24 00:00:00+00:00,72,27,1,1
2026-04-25 00:00:00+00:00,82,28,0,0
2026-04-26 00:00:00+00:00,29,9,0,0
2026-04-27 00:00:00+00:00,29,10,0,0
2026-04-28 00:00:00+00:00,21,7,0,0
2026-04-29 00:00:00+00:00,38,11,0,0
2026-04-30 00:00:00+00:00,23,7,0,0
2026-05-01 00:00:00+00:00,35,9,0,0
2026-05-02 00:00:00+00:00,24,8,0,0
2026-05-03 00:00:00+00:00,18,8,0,0
