time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-04 00:00:00+00:00,1,1,0,0
2024-06-08 00:00:00+00:00,1,1,0,0
2024-06-11 00:00:00+00:00,1,1,10,2
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-17 00:00:00+00:00,9,6,16,1
2024-06-18 00:00:00+00:00,1,1,0,0
2024-06-19 00:00:00+00:00,5,2,0,0
2024-06-20 00:00:00+00:00,5,2,11,1
2024-06-21 00:00:00+00:00,2,2,1,1
2024-06-22 00:00:00+00:00,3,1,0,0
2024-06-24 00:00:00+00:00,1,1,0,0
2024-06-26 00:00:00+00:00,2,2,0,0
2024-06-27 00:00:00+00:00,2,1,0,0
2024-06-28 00:00:00+00:00,2,1,0,0
2024-06-29 00:00:00+00:00,3,1,0,0
2024-07-01 00:00:00+00:00,2,1,0,0
2024-07-02 00:00:00+00:00,1,1,0,0
2024-07-03 00:00:00+00:00,1,1,0,0
2024-07-04 00:00:00+00:00,2,1,0,0
2024-07-05 00:00:00+00:00,0,0,1,1
2024-07-08 00:00:00+00:00,1,1,0,0
2024-07-09 00:00:00+00:00,1,1,0,0
2024-07-10 00:00:00+00:00,1,1,0,0
2024-07-11 00:00:00+00:00,1,1,0,0
2024-07-12 00:00:00+00:00,1,1,0,0
2024-07-13 00:00:00+00:00,3,1,0,0
2024-07-15 00:00:00+00:00,2,1,0,0
2024-07-16 00:00:00+00:00,2,1,4,1
2024-07-17 00:00:00+00:00,2,1,0,0
2024-07-20 00:00:00+00:00,2,1,0,0
2024-07-21 00:00:00+00:00,1,1,0,0
2024-07-22 00:00:00+00:00,3,1,2,1
2024-07-23 00:00:00+00:00,1,1,5,1
2024-07-24 00:00:00+00:00,1,1,9,3
2024-07-25 00:00:00+00:00,1,1,1,1
2024-07-26 00:00:00+00:00,3,1,0,0
2024-07-29 00:00:00+00:00,1,1,0,0
2024-07-30 00:00:00+00:00,1,1,0,0
2024-07-31 00:00:00+00:00,9,3,49,2
2024-08-01 00:00:00+00:00,7,3,46,1
2024-08-02 00:00:00+00:00,5,3,13,1
2024-08-04 00:00:00+00:00,2,2,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
